timestamp,value
2026-06-20 00:22:33,1736
2026-06-20 00:22:40,1805
2026-06-20 00:22:46,1885
2026-06-20 00:22:52,1970
2026-06-20 00:22:57,2043
2026-06-20 00:23:03,1759
2026-06-20 00:23:12,1865
2026-06-20 00:23:18,1929
2026-06-20 00:23:24,2007
2026-06-20 00:23:29,1684
2026-06-20 00:23:35,1753
2026-06-20 00:23:40,1817
2026-06-20 00:23:46,1901
2026-06-20 00:23:52,1985
2026-06-20 00:23:58,2048
2026-06-20 00:24:04,1743
2026-06-20 00:24:09,1812
2026-06-20 00:24:15,1884
2026-06-20 00:24:20,1944
2026-06-20 00:24:26,2018
2026-06-20 00:24:31,1688
2026-06-20 00:24:36,1751
2026-06-20 00:24:42,1821
2026-06-20 00:24:47,1907
2026-06-20 00:24:53,1990
2026-06-20 00:24:59,2051
2026-06-20 00:25:04,1752
2026-06-20 00:25:11,1830
2026-06-20 00:25:16,1898
2026-06-20 00:25:21,1968
2026-06-20 00:25:27,2037
2026-06-20 00:25:32,1730
2026-06-20 00:25:37,1787
2026-06-20 00:25:43,1863
2026-06-20 00:25:48,1934
2026-06-20 00:25:53,2007
2026-06-20 00:25:59,2066
2026-06-20 00:26:04,1768
2026-06-20 00:26:09,1833
2026-06-20 00:26:15,1898
2026-06-20 00:26:20,1958
2026-06-20 00:26:25,2028
2026-06-20 00:26:31,1699
2026-06-20 00:26:36,1768
2026-06-20 00:26:41,1835
2026-06-20 00:26:47,1903
2026-06-20 00:26:52,1983
2026-06-20 00:26:57,2044
2026-06-20 00:27:03,1733
2026-06-20 00:27:08,1794
2026-06-20 00:27:13,1866
2026-06-20 00:27:19,1930
2026-06-20 00:27:24,1999
2026-06-20 00:27:29,2064
2026-06-20 00:27:35,1770
2026-06-20 00:27:40,1825
2026-06-20 00:27:45,1893
2026-06-20 00:27:51,1962
2026-06-20 00:27:56,2038
2026-06-20 00:28:01,1724
2026-06-20 00:28:07,1787
2026-06-20 00:28:12,1865
2026-06-20 00:28:17,1934
2026-06-20 00:28:23,2006
2026-06-20 00:28:28,2069
2026-06-20 00:28:33,1764
2026-06-20 00:28:39,1811
2026-06-20 00:28:44,1881
2026-06-20 00:28:49,1954
2026-06-20 00:28:55,2025
2026-06-20 00:29:00,1691
2026-06-20 00:29:05,1770
2026-06-20 00:29:11,1841
2026-06-20 00:29:16,1906
2026-06-20 00:29:21,1977
2026-06-20 00:29:27,2046
2026-06-20 00:29:32,1735
2026-06-20 00:29:37,1794
2026-06-20 00:29:43,1869
2026-06-20 00:29:48,1937
2026-06-20 00:29:53,2008
2026-06-20 00:29:59,2069
2026-06-20 00:30:04,1751
2026-06-20 00:30:09,1821
2026-06-20 00:30:15,1899
2026-06-20 00:30:20,1961
2026-06-20 00:30:25,2037
2026-06-20 00:30:31,1705
2026-06-20 00:30:36,1777
2026-06-20 00:30:41,1848
2026-06-20 00:30:47,1919
2026-06-20 00:30:52,1995
2026-06-20 00:30:57,2059
2026-06-20 00:31:03,1740
2026-06-20 00:31:08,1812
2026-06-20 00:31:13,1877
2026-06-20 00:31:19,1948
2026-06-20 00:31:24,2011
2026-06-20 00:31:29,1691
2026-06-20 00:31:35,1758
2026-06-20 00:31:40,1815
2026-06-20 00:31:45,1880
2026-06-20 00:31:51,1953
2026-06-20 00:31:56,2028
2026-06-20 00:32:01,1711
2026-06-20 00:32:07,1782
2026-06-20 00:32:12,1861
2026-06-20 00:32:17,1930
2026-06-20 00:32:23,1998
2026-06-20 00:32:28,2062
2026-06-20 00:32:33,1751
2026-06-20 00:32:39,1800
2026-06-20 00:32:44,1877
2026-06-20 00:32:49,1956
2026-06-20 00:32:55,2029
2026-06-20 00:33:00,1698
2026-06-20 00:33:05,1783
2026-06-20 00:33:10,1859
2026-06-20 00:33:16,1929
2026-06-20 00:33:21,1995
2026-06-20 00:33:26,2064
2026-06-20 00:33:32,1740
2026-06-20 00:33:37,1793
2026-06-20 00:33:42,1867
2026-06-20 00:33:48,1932
2026-06-20 00:33:53,2013
2026-06-20 00:33:58,2073
2026-06-20 00:34:04,1756
2026-06-20 00:34:09,1826
2026-06-20 00:34:14,1895
2026-06-20 00:34:20,1960
2026-06-20 00:34:25,2035
2026-06-20 00:34:30,1708
2026-06-20 00:34:36,1772
2026-06-20 00:34:41,1845
2026-06-20 00:34:46,1906
2026-06-20 00:34:52,1985
2026-06-20 00:34:57,2054
2026-06-20 00:35:02,1738
2026-06-20 00:35:08,1808
2026-06-20 00:35:13,1878
2026-06-20 00:35:18,1949
2026-06-20 00:35:24,2008
2026-06-20 00:35:29,2067
2026-06-20 00:35:34,1752
2026-06-20 00:35:40,1812
2026-06-20 00:35:45,1883
2026-06-20 00:35:50,1953
2026-06-20 00:35:56,2027
2026-06-20 00:36:01,1713
2026-06-20 00:36:06,1784
2026-06-20 00:36:12,1867
2026-06-20 00:36:17,1935
2026-06-20 00:36:22,2002
2026-06-20 00:36:28,2070
2026-06-20 00:36:33,1753
2026-06-20 00:36:38,1800
2026-06-20 00:36:44,1880
2026-06-20 00:36:49,1951
2026-06-20 00:36:54,2025
2026-06-20 00:37:00,1690
2026-06-20 00:37:05,1776
2026-06-20 00:37:10,1849
2026-06-20 00:37:16,1922
2026-06-20 00:37:21,1986
2026-06-20 00:37:26,2049
2026-06-20 00:37:32,1722
2026-06-20 00:37:37,1779
2026-06-20 00:37:42,1861
2026-06-20 00:37:48,1921
2026-06-20 00:37:53,1998
2026-06-20 00:37:58,2063
2026-06-20 00:38:04,1752
2026-06-20 00:38:09,1822
2026-06-20 00:38:14,1896
2026-06-20 00:38:20,1959
2026-06-20 00:38:25,2028
2026-06-20 00:38:31,1709
2026-06-20 00:38:36,1773
2026-06-20 00:38:41,1844
2026-06-20 00:38:47,1911
2026-06-20 00:38:52,1982
2026-06-20 00:38:57,2057
2026-06-20 00:39:03,1754
2026-06-20 00:39:08,1820
2026-06-20 00:39:13,1886
2026-06-20 00:39:19,1955
2026-06-20 00:39:24,2016
2026-06-20 00:39:29,2071
2026-06-20 00:39:34,1751
2026-06-20 00:39:40,1810
2026-06-20 00:39:45,1880
2026-06-20 00:39:51,1953
2026-06-20 00:39:56,2038
2026-06-20 00:40:01,1717
2026-06-20 00:40:06,1787
2026-06-20 00:40:12,1871
2026-06-20 00:40:17,1944
2026-06-20 00:40:23,2011
2026-06-20 00:40:28,2071
2026-06-20 00:40:33,1748
2026-06-20 00:40:39,1795
2026-06-20 00:40:44,1878
2026-06-20 00:40:49,1948
2026-06-20 00:40:55,2027
2026-06-20 00:41:00,1701
2026-06-20 00:41:05,1786
2026-06-20 00:41:11,1856
